district,state,lat,lon,flood_type
Champhai,Mizoram,23.489023,93.345186,Urban / river flood
Hnahthial,Mizoram,23.1645,93.0576,Urban / river flood
Khawzawl,Mizoram,23.269216,92.823322,Urban / river flood
Kolasib,Mizoram,24.252182,92.690303,Urban / river flood
Lawngtlai,Mizoram,23.343005,93.074571,Urban / river flood
Lunglei,Mizoram,22.888359,92.746609,Urban / river flood
Mamit,Mizoram,23.942233,92.499553,Urban / river flood
Saitual,Mizoram,23.483256,92.85219,Urban / river flood
Serchhip,Mizoram,23.3256,92.864991,Urban / river flood
Siaha,Mizoram,23.301308,93.313477,Urban / river flood
Chumoukedima,Nagaland,26.204322,94.451534,Urban / river flood
Dimapur,Nagaland,25.91789,93.746839,Urban / river flood
Kiphire,Nagaland,26.339606,94.619534,Urban / river flood
Kohima,Nagaland,25.684924,94.118903,Urban / river flood
Longleng,Nagaland,26.102126,94.816237,Urban / river flood
Meluri,Nagaland,26.40005,94.393195,Urban / river flood
Mokokchung,Nagaland,26.321208,94.519572,Urban / river flood
Mon,Nagaland,26.723923,95.031768,Urban / river flood
Niuland,Nagaland,26.175848,94.162781,Urban / river flood
Noklak,Nagaland,26.073547,94.647253,Urban / river flood
Peren,Nagaland,26.313252,94.555639,Urban / river flood
Phek,Nagaland,25.701797,94.465739,Urban / river flood
Shamator,Nagaland,26.187768,94.785475,Urban / river flood
Tseminyu,Nagaland,26.30753,94.34942,Urban / river flood
Tuensang,Nagaland,26.229854,94.814512,Urban / river flood
Wokha,Nagaland,26.0917,94.258877,Urban / river flood
Zunheboto,Nagaland,26.009562,94.521241,Urban / river flood
Anugul,Odisha,20.782653,85.461023,Coastal / river flood
Balangir,Odisha,21.062566,85.052578,Coastal / river flood
Baleshwar,Odisha,20.806048,85.045487,Coastal / river flood
Bargarh,Odisha,21.039432,85.267032,Coastal / river flood
Bhadrak,Odisha,21.009934,84.881167,Coastal / river flood
Boudh,Odisha,20.732418,85.238198,Coastal / river flood
Cuttack,Odisha,21.242218,85.149726,Coastal / river flood
Deogarh,Odisha,20.750809,84.836693,Coastal / river flood
Dhenkanal,Odisha,20.919888,85.462111,Coastal / river flood
Gajapati,Odisha,21.246611,84.828264,Coastal / river flood
Ganjam,Odisha,20.8317,85.0985,Coastal / river flood
Jagatsinghapur,Odisha,21.065978,85.203216,Coastal / river flood
Jajapur,Odisha,20.93514,84.909223,Coastal / river flood
Jharsuguda,Odisha,20.814729,85.277005,Coastal / river flood
Kalahandi,Odisha,21.20775,85.053351,Coastal / river flood
Kandhamal,Odisha,20.7029,84.939997,Coastal / river flood
Kendrapara,Odisha,21.03711,85.417256,Coastal / river flood
Kendujhar,Odisha,21.120238,84.774741,Coastal / river flood
Khordha,Odisha,20.575823,85.235308,Coastal / river flood
Koraput,Odisha,21.062566,85.144422,Coastal / river flood
Malkangiri,Odisha,20.886194,84.958022,Coastal / river flood
Mayurbhanj,Odisha,20.894566,85.279706,Coastal / river flood
Nabarangpur,Odisha,21.146556,84.986,Coastal / river flood
Nayagarh,Odisha,20.697863,85.042226,Coastal / river flood
Nuapada,Odisha,21.120905,85.34015,Coastal / river flood
Puri,Odisha,20.994774,84.771323,Coastal / river flood
Rayagada,Odisha,20.672094,85.333117,Coastal / river flood
Sambalpur,Odisha,21.351319,85.115948,Coastal / river flood
Karaikal,Puducherry,11.856747,79.723447,Coastal / river flood
Puducherry,Puducherry,11.948361,79.963152,Coastal / river flood
Amritsar,Punjab,31.623088,74.87248,Riverine flood
Barnala,Punjab,30.924025,75.370568,Riverine flood
Bathinda,Punjab,30.293282,74.951926,Riverine flood
Faridkot,Punjab,30.67333,74.758547,Riverine flood
Fatehgarh Sahib,Punjab,30.647528,76.406922,Riverine flood
Fazilka,Punjab,31.495207,75.231442,Riverine flood
Ferozepur,Punjab,30.784577,75.172153,Riverine flood
Gurdaspur,Punjab,32.045131,75.408744,Riverine flood
Hoshiarpur,Punjab,31.535053,75.914418,Riverine flood
Jalandhar,Punjab,31.339673,75.581698,Riverine flood
Kapurthala,Punjab,31.379585,75.385678,Riverine flood
Ludhiana,Punjab,30.908679,75.851626,Riverine flood
Malerkotla,Punjab,31.095874,75.631718,Riverine flood
Mansa,Punjab,29.986894,75.390143,Riverine flood
Moga,Punjab,30.801361,75.162775,Riverine flood
Pathankot,Punjab,31.417336,75.636111,Riverine flood
Patiala,Punjab,30.317367,76.407038,Riverine flood
Rupnagar,Punjab,30.964466,76.526375,Riverine flood
S.A.S Nagar,Punjab,31.336377,75.32464,Riverine flood
Sangrur,Punjab,30.241479,75.841924,Riverine flood
Shahid Bhagat Singh Nagar,Punjab,31.192249,75.59725,Riverine flood
Ajmer,Rajasthan,26.460578,74.641756,Urban / river flood
Alwar,Rajasthan,27.566581,76.610602,Urban / river flood
Balotra,Rajasthan,27.347559,74.386438,Urban / river flood
Banswara,Rajasthan,23.545683,74.448134,Urban / river flood
Baran,Rajasthan,25.113409,76.513669,Urban / river flood
Barmer,Rajasthan,25.743971,71.393059,Urban / river flood
Beawar,Rajasthan,26.842594,74.160766,Urban / river flood
Bharatpur,Rajasthan,27.213921,77.500799,Urban / river flood
Bhilwara,Rajasthan,25.347483,74.637973,Urban / river flood
Bikaner,Rajasthan,28.016543,73.317199,Urban / river flood
Bundi,Rajasthan,25.442985,75.643423,Urban / river flood
Chittorgarh,Rajasthan,26.789183,73.938294,Urban / river flood
Churu,Rajasthan,28.300078,74.966601,Urban / river flood
Dausa,Rajasthan,26.899411,76.334441,Urban / river flood
Deeg,Rajasthan,26.868948,74.224661,Urban / river flood
Dholpur,Rajasthan,27.169348,74.34003,Urban / river flood
Didwana-Kuchaman,Rajasthan,26.994432,73.994825,Urban / river flood
Dungarpur,Rajasthan,23.837104,73.716702,Urban / river flood
Ganganagar,Rajasthan,29.928315,73.867201,Urban / river flood
Hanumangarh,Rajasthan,29.577336,74.320427,Urban / river flood
Jaipur,Rajasthan,26.914736,75.810664,Urban / river flood
Jaisalmer,Rajasthan,26.911481,70.91459,Urban / river flood
Jalore,Rajasthan,26.912934,74.263822,Urban / river flood
Jhalawar,Rajasthan,24.592312,76.165807,Urban / river flood
Jhunjhunu,Rajasthan,26.936068,74.049368,Urban / river flood
Jodhpur,Rajasthan,26.279624,73.022778,Urban / river flood
Karauli,Rajasthan,26.4987,77.022184,Urban / river flood
Khairthal-Tijara,Rajasthan,26.733282,74.166674,Urban / river flood
Kota,Rajasthan,25.179993,75.846204,Urban / river flood
Kotputli-Behror,Rajasthan,27.055612,73.854289,Urban / river flood
Nagaur,Rajasthan,27.200302,73.736974,Urban / river flood
Pali,Rajasthan,25.777043,73.322215,Urban / river flood
Phalodi,Rajasthan,26.909522,74.113184,Urban / river flood
Pratapgarh,Rajasthan,27.04036,74.407177,Urban / river flood
Rajsamand,Rajasthan,25.075336,73.860393,Urban / river flood
Salumbar,Rajasthan,26.76775,74.263049,Urban / river flood
Sawai Madhopur,Rajasthan,25.987844,76.381194,Urban / river flood
Sikar,Rajasthan,27.610617,75.147048,Urban / river flood
Gangtok,Sikkim,27.364462,88.835959,Flash / glacial flood
Gyalshing,Sikkim,27.908877,88.375392,Flash / glacial flood
Mangan,Sikkim,27.422134,88.466278,Flash / glacial flood
Namchi,Sikkim,27.598506,88.652678,Flash / glacial flood
Pakyong,Sikkim,27.590134,88.330994,Flash / glacial flood
Soreng,Sikkim,27.338144,88.6247,Flash / glacial flood
Ariyalur,Tamil Nadu,11.380937,78.713174,Coastal / river flood
Chengalpattu,Tamil Nadu,10.957895,78.41525,Coastal / river flood
Chennai,Tamil Nadu,13.074737,80.267689,Coastal / river flood
Coimbatore,Tamil Nadu,10.994743,76.96688,Coastal / river flood
Cuddalore,Tamil Nadu,11.75553,79.762325,Coastal / river flood
Dharmapuri,Tamil Nadu,12.134803,78.161203,Coastal / river flood
Dindigul,Tamil Nadu,10.361936,77.968908,Coastal / river flood
Erode,Tamil Nadu,11.334348,77.72772,Coastal / river flood
Kallakurichi,Tamil Nadu,11.350175,78.627532,Coastal / river flood
Kancheepuram,Tamil Nadu,12.834822,79.715697,Coastal / river flood
Kanniyakumari,Tamil Nadu,8.175865,77.440953,Coastal / river flood
Karur,Tamil Nadu,10.948948,78.086832,Coastal / river flood
Krishnagiri,Tamil Nadu,12.533802,78.228528,Coastal / river flood
Madurai,Tamil Nadu,9.924937,78.129356,Coastal / river flood
Mayiladuthurai,Tamil Nadu,11.081178,78.546034,Coastal / river flood
Nagapattinam,Tamil Nadu,10.770587,79.834871,Coastal / river flood
Namakkal,Tamil Nadu,11.225821,78.171836,Coastal / river flood
Perambalur,Tamil Nadu,11.243109,78.866417,Coastal / river flood
Pudukkottai,Tamil Nadu,10.383944,78.81216,Coastal / river flood
Ramanathapuram,Tamil Nadu,9.363516,78.840969,Coastal / river flood
Ranipet,Tamil Nadu,10.865293,78.857791,Coastal / river flood
Salem,Tamil Nadu,11.65821,78.152968,Coastal / river flood
Sivaganga,Tamil Nadu,9.860311,78.481581,Coastal / river flood
Tenkasi,Tamil Nadu,11.1271,78.7769,Coastal / river flood
Thanjavur,Tamil Nadu,10.785111,79.138403,Coastal / river flood
The Nilgiris,Tamil Nadu,11.415521,76.705867,Coastal / river flood
Theni,Tamil Nadu,9.999588,77.464364,Coastal / river flood
Thiruvallur,Tamil Nadu,13.153773,79.915219,Coastal / river flood
Thiruvarur,Tamil Nadu,10.780886,79.626455,Coastal / river flood
Thoothukkudi,Tamil Nadu,8.810166,78.148882,Coastal / river flood
Tiruchirappalli,Tamil Nadu,10.82225,78.681043,Coastal / river flood
Tirunelveli,Tamil Nadu,8.730059,77.692464,Coastal / river flood
Tirupathur,Tamil Nadu,11.173022,78.546034,Coastal / river flood
Tiruppur,Tamil Nadu,10.986622,78.722406,Coastal / river flood
Tiruvannamalai,Tamil Nadu,12.233386,79.07432,Coastal / river flood
Adilabad,Telangana,17.9999,78.824444,Urban / river flood
Bhadradri Kothagudem,Telangana,18.056126,79.273137,Urban / river flood
Hanumakonda,Telangana,18.35405,78.850095,Urban / river flood
Hyderabad,Telangana,17.785223,78.976226,Urban / river flood
Jagitial,Telangana,18.347017,79.298906,Urban / river flood
Jangoan,Telangana,18.129848,78.619681,Urban / river flood
Jayashankar Bhupalapally,Telangana,18.027547,79.104153,Urban / river flood
Jogulamba Gadwal,Telangana,18.267252,79.012539,Urban / river flood
Kamareddy,Telangana,17.966852,78.89717,Urban / river flood
Karimnagar,Telangana,18.141768,79.242375,Urban / river flood
Khammam,Telangana,18.26153,78.80632,Urban / river flood
Kumuram Bheem Asifabad,Telangana,17.824393,79.08315,Urban / river flood
Mahabubabad,Telangana,18.398188,79.1843,Urban / river flood
Mahabubnagar,Telangana,18.002642,78.671193,Urban / river flood
Mancherial,Telangana,17.943353,79.381823,Urban / river flood
Medak,Telangana,18.223266,78.973378,Urban / river flood
Medchal Malkajgiri,Telangana,17.966748,78.966287,Urban / river flood
Mulugu,Telangana,18.200132,79.187832,Urban / river flood
Nagarkurnool,Telangana,18.170634,78.801967,Urban / river flood
Nalgonda,Telangana,17.893118,79.158998,Urban / river flood
Narayanpet,Telangana,18.402918,79.070526,Urban / river flood
Nirmal,Telangana,17.911509,78.757493,Urban / river flood
Nizamabad,Telangana,18.080588,79.382911,Urban / river flood
Peddapalli,Telangana,18.407311,78.749064,Urban / river flood
Rajanna Sircilla,Telangana,17.9924,79.0193,Urban / river flood
Ranga Reddy,Telangana,18.226678,79.124016,Urban / river flood
Sangareddy,Telangana,18.09584,78.830023,Urban / river flood
Siddipet,Telangana,17.975429,79.197805,Urban / river flood
Suryapet,Telangana,18.36845,78.974151,Urban / river flood
Vikarabad,Telangana,17.8636,78.860797,Urban / river flood
Wanaparthy,Telangana,18.19781,79.338056,Urban / river flood
Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,20.349438,72.693141,Coastal / river flood
Daman,The Dadra And Nagar Haveli And Daman And Diu,19.805023,73.153708,Coastal / river flood
Diu,The Dadra And Nagar Haveli And Daman And Diu,20.291766,73.062822,Coastal / river flood
Dhalai,Tripura,23.938769,91.868389,Urban / river flood
Gomati,Tripura,23.883666,92.169406,Urban / river flood
Khowai,Tripura,24.135656,91.8757,Urban / river flood
North Tripura,Tripura,24.342116,92.017914,Urban / river flood
Sepahijala,Tripura,24.110005,92.22985,Urban / river flood
South Tripura,Tripura,23.53045,91.485363,Urban / river flood
Unakoti,Tripura,23.661194,92.222817,Urban / river flood
West Tripura,Tripura,23.827795,91.274175,Urban / river flood
Agra,Uttar Pradesh,27.17568,78.008109,Riverine flood
Aligarh,Uttar Pradesh,27.875204,78.068216,Riverine flood
Ambedkar Nagar,Uttar Pradesh,26.413411,82.54027,Riverine flood
Amethi,Uttar Pradesh,26.623625,80.975568,Riverine flood
Amroha,Uttar Pradesh,27.05968,81.09533,Riverine flood
Auraiya,Uttar Pradesh,26.460045,79.519467,Riverine flood
Ayodhya,Uttar Pradesh,26.6817,81.231988,Riverine flood
Azamgarh,Uttar Pradesh,26.053641,83.181213,Riverine flood
Baghpat,Uttar Pradesh,28.934887,77.226645,Riverine flood
Bahraich,Uttar Pradesh,27.577746,81.598143,Riverine flood
Ballia,Uttar Pradesh,25.760427,84.155791,Riverine flood
Balrampur,Uttar Pradesh,27.424362,82.195912,Riverine flood
Banda,Uttar Pradesh,25.467372,80.325071,Riverine flood
Bara Banki,Uttar Pradesh,26.931977,81.203728,Riverine flood
Bareilly,Uttar Pradesh,28.361856,79.419697,Riverine flood
Basti,Uttar Pradesh,26.801568,82.758574,Riverine flood
Bhadohi,Uttar Pradesh,26.483089,80.914388,Riverine flood
Bijnor,Uttar Pradesh,29.379583,78.13407,Riverine flood
Budaun,Uttar Pradesh,28.034404,79.124138,Riverine flood
Bulandshahr,Uttar Pradesh,28.400237,77.861025,Riverine flood
Chandauli,Uttar Pradesh,25.258531,83.270958,Riverine flood
Chitrakoot,Uttar Pradesh,25.210734,80.914156,Riverine flood
Deoria,Uttar Pradesh,26.500556,83.783389,Riverine flood
Etah,Uttar Pradesh,27.55673,78.657582,Riverine flood
Etawah,Uttar Pradesh,26.77697,79.025561,Riverine flood
Farrukhabad,Uttar Pradesh,27.367541,79.635106,Riverine flood
Fatehpur,Uttar Pradesh,25.927961,80.817369,Riverine flood
Firozabad,Uttar Pradesh,27.142217,78.398303,Riverine flood
Gautam Buddha Nagar,Uttar Pradesh,28.567013,77.327519,Riverine flood
Ghaziabad,Uttar Pradesh,28.660255,77.445653,Riverine flood
Ghazipur,Uttar Pradesh,25.586118,83.581496,Riverine flood
Gonda,Uttar Pradesh,27.133796,81.962471,Riverine flood
Gorakhpur,Uttar Pradesh,26.759828,83.370935,Riverine flood
Hamirpur,Uttar Pradesh,25.959941,80.117055,Riverine flood
Hapur,Uttar Pradesh,26.612083,80.666594,Riverine flood
Hardoi,Uttar Pradesh,27.395551,80.127149,Riverine flood
Hathras,Uttar Pradesh,27.585241,78.05918,Riverine flood
Jalaun,Uttar Pradesh,25.989945,79.454191,Riverine flood
Jaunpur,Uttar Pradesh,25.748744,82.687741,Riverine flood
Jhansi,Uttar Pradesh,25.462975,78.57546,Riverine flood
Kannauj,Uttar Pradesh,27.056124,79.926694,Riverine flood
Kanpur Dehat,Uttar Pradesh,26.375967,79.955267,Riverine flood
Kanpur Nagar,Uttar Pradesh,26.461855,80.344194,Riverine flood
Kasganj,Uttar Pradesh,26.956458,81.294307,Riverine flood
Kaushambi,Uttar Pradesh,25.524545,81.383437,Riverine flood
Kheri,Uttar Pradesh,27.947796,80.788432,Riverine flood
Kushinagar,Uttar Pradesh,26.907172,83.985134,Riverine flood
Lalitpur,Uttar Pradesh,24.691585,78.418609,Riverine flood
Lucknow,Uttar Pradesh,26.83323,80.943614,Riverine flood
Mahoba,Uttar Pradesh,25.286105,79.880627,Riverine flood
Mahrajganj,Uttar Pradesh,26.556182,80.894974,Riverine flood
Mainpuri,Uttar Pradesh,27.229325,79.049369,Riverine flood
Mathura,Uttar Pradesh,27.494256,77.684411,Riverine flood
Mau,Uttar Pradesh,25.947961,83.561419,Riverine flood
Meerut,Uttar Pradesh,28.986554,77.70386,Riverine flood
Mirzapur,Uttar Pradesh,25.143896,82.562668,Riverine flood
Moradabad,Uttar Pradesh,28.832848,78.780652,Riverine flood
Muzaffarnagar,Uttar Pradesh,29.471716,77.700412,Riverine flood
Pilibhit,Uttar Pradesh,28.634994,79.812128,Riverine flood
Pratapgarh,Uttar Pradesh,25.93741,81.995137,Riverine flood
Prayagraj,Uttar Pradesh,26.76129,80.627444,Riverine flood
Rae Bareli,Uttar Pradesh,26.231689,81.230631,Riverine flood
Rampur,Uttar Pradesh,28.791807,79.029148,Riverine flood
Saharanpur,Uttar Pradesh,29.965049,77.553476,Riverine flood
Sambhal,Uttar Pradesh,26.912206,81.086678,Riverine flood
Sant Kabir Nagar,Uttar Pradesh,26.778133,83.086966,Riverine flood
Shahjahanpur,Uttar Pradesh,27.871092,79.908609,Riverine flood
Shamli,Uttar Pradesh,27.100537,81.002474,Riverine flood
Shrawasti,Uttar Pradesh,27.700545,81.931928,Riverine flood
Siddharthnagar,Uttar Pradesh,27.246253,83.066141,Riverine flood
Sitapur,Uttar Pradesh,27.563585,80.686343,Riverine flood
Sonbhadra,Uttar Pradesh,24.687697,83.069029,Riverine flood
Almora,Uttarakhand,30.151653,79.104153,Flash / glacial flood
Bageshwar,Uttarakhand,30.060039,78.864448,Flash / glacial flood
Chamoli,Uttarakhand,29.94467,79.164848,Flash / glacial flood
Champawat,Uttarakhand,30.289875,78.989932,Flash / glacial flood
Dehradun,Uttarakhand,29.85382,78.87017,Flash / glacial flood
Haridwar,Uttarakhand,30.13065,79.307307,Flash / glacial flood
Nainital,Uttarakhand,30.2318,78.733512,Flash / glacial flood
Pauri Garhwal,Uttarakhand,29.718693,79.129058,Flash / glacial flood
Pithoragarh,Uttarakhand,30.429323,79.188347,Flash / glacial flood
Rudraprayag,Uttarakhand,30.020878,78.908434,Flash / glacial flood
Tehri Garhwal,Uttarakhand,30.013787,79.164952,Flash / glacial flood
Udham Singh Nagar,Uttarakhand,30.235332,78.931568,Flash / glacial flood
Uttarkashi,Uttarakhand,29.849467,78.961066,Flash / glacial flood
Alipurduar,West Bengal,23.126498,88.074282,Coastal / river flood
Bankura,West Bengal,23.249965,87.061434,Coastal / river flood
Birbhum,West Bengal,23.908735,87.534251,Coastal / river flood
Cooch Behar,West Bengal,23.350411,87.886812,Coastal / river flood
Dakshin Dinajpur,West Bengal,25.230003,88.789755,Coastal / river flood
Darjeeling,West Bengal,22.9868,87.975,Coastal / river flood
Hooghly,West Bengal,23.091516,87.740722,Coastal / river flood
Howrah,West Bengal,22.797523,87.87156,Coastal / river flood
Jalpaiguri,West Bengal,26.527845,88.719039,Coastal / river flood
Jhargram,West Bengal,22.941651,87.59895,Coastal / river flood
Kalimpong,West Bengal,22.828297,88.1038,Coastal / river flood
Kolkata,West Bengal,22.548783,88.39894,Coastal / river flood
Malda,West Bengal,22.663041,87.686462,Coastal / river flood
Murshidabad,West Bengal,24.100513,88.278789,Coastal / river flood
Nadia,West Bengal,23.418592,88.504458,Coastal / river flood
North 24 Parganas,West Bengal,22.846322,87.920506,Coastal / river flood
Paschim Bardhaman,West Bengal,23.168006,87.912134,Coastal / river flood
Paschim Medinipur,West Bengal,22.8743,87.660144,Coastal / river flood
Purba Bardhaman,West Bengal,22.930526,88.108837,Coastal / river flood
Purba Medinipur,West Bengal,23.22845,87.685795,Coastal / river flood
Purulia,West Bengal,22.659623,87.811926,Coastal / river flood
