district,state,year,flood_events,area_affected_ha,people_affected,damage_cr
Rohtas,Bihar,2022,7,44016,86530,1371
Rohtas,Bihar,2023,7,37737,195288,686
Rohtas,Bihar,2024,9,24958,61017,780
Saharsa,Bihar,2015,3,37269,157118,760
Saharsa,Bihar,2016,3,23576,139868,447
Saharsa,Bihar,2017,3,13402,182755,284
Saharsa,Bihar,2018,8,39767,107620,518
Saharsa,Bihar,2019,6,11338,57955,785
Saharsa,Bihar,2020,9,19780,136772,613
Saharsa,Bihar,2021,3,47111,51221,349
Saharsa,Bihar,2022,7,71355,203187,532
Saharsa,Bihar,2023,8,26400,188253,466
Saharsa,Bihar,2024,3,43080,104214,832
Samastipur,Bihar,2015,4,42092,168995,313
Samastipur,Bihar,2016,6,32935,100374,783
Samastipur,Bihar,2017,3,39013,157233,348
Samastipur,Bihar,2018,3,44928,115196,643
Samastipur,Bihar,2019,3,17060,69034,301
Samastipur,Bihar,2020,6,49756,83849,723
Samastipur,Bihar,2021,8,47362,168087,542
Samastipur,Bihar,2022,7,34000,151497,922
Samastipur,Bihar,2023,5,30135,94380,327
Samastipur,Bihar,2024,6,44103,178560,196
Saran,Bihar,2015,8,26857,54690,918
Saran,Bihar,2016,7,21834,82319,242
Saran,Bihar,2017,9,34626,84005,560
Saran,Bihar,2018,7,13247,57595,380
Saran,Bihar,2019,9,26811,173526,294
Saran,Bihar,2020,7,17588,158106,451
Saran,Bihar,2021,8,27677,184454,600
Saran,Bihar,2022,10,21193,81934,922
Saran,Bihar,2023,4,40487,97515,782
Saran,Bihar,2024,4,23782,127965,881
Sheikhpura,Bihar,2015,8,42625,187165,348
Sheikhpura,Bihar,2016,5,41314,154391,532
Sheikhpura,Bihar,2017,3,47352,189710,617
Sheikhpura,Bihar,2018,6,40567,171336,185
Sheikhpura,Bihar,2019,5,18811,134679,916
Sheikhpura,Bihar,2020,9,34167,156102,657
Sheikhpura,Bihar,2021,7,15958,166871,975
Sheikhpura,Bihar,2022,10,51763,222165,321
Sheikhpura,Bihar,2023,7,26169,168797,875
Sheikhpura,Bihar,2024,3,23901,115287,610
Sheohar,Bihar,2015,7,21310,91323,843
Sheohar,Bihar,2016,8,12109,100433,636
Sheohar,Bihar,2017,8,46783,154882,717
Sheohar,Bihar,2018,5,11758,145720,801
Sheohar,Bihar,2019,7,39890,117627,893
Sheohar,Bihar,2020,4,47861,71245,831
Sheohar,Bihar,2021,4,16652,52007,982
Sheohar,Bihar,2022,9,43404,78174,1389
Sheohar,Bihar,2023,8,26319,100463,480
Sheohar,Bihar,2024,4,48170,123063,983
Sitamarhi,Bihar,2015,9,45799,173975,719
Sitamarhi,Bihar,2016,8,39240,51564,341
Sitamarhi,Bihar,2017,6,39126,152884,794
Sitamarhi,Bihar,2018,6,35749,70432,728
Sitamarhi,Bihar,2019,6,24651,123650,244
Sitamarhi,Bihar,2020,4,11176,113992,633
Sitamarhi,Bihar,2021,4,30392,64752,606
Sitamarhi,Bihar,2022,6,22846,110208,708
Sitamarhi,Bihar,2023,7,19574,107441,358
Sitamarhi,Bihar,2024,5,36735,191404,607
Chandigarh,Chandigarh,2015,2,2612,13618,28
Chandigarh,Chandigarh,2016,0,2453,14132,72
Chandigarh,Chandigarh,2017,0,1384,6965,29
Chandigarh,Chandigarh,2018,1,3087,1485,59
Chandigarh,Chandigarh,2019,2,1013,7259,14
Chandigarh,Chandigarh,2020,0,2921,11632,76
Chandigarh,Chandigarh,2021,1,2238,7917,16
Chandigarh,Chandigarh,2022,1,1686,10516,27
Chandigarh,Chandigarh,2023,0,2170,7595,15
Chandigarh,Chandigarh,2024,2,4546,12915,32
Balod,Chhattisgarh,2015,2,7235,47442,227
Balod,Chhattisgarh,2016,2,8092,58308,188
Balod,Chhattisgarh,2017,3,4084,34148,341
Balod,Chhattisgarh,2018,1,17193,44501,262
Balod,Chhattisgarh,2019,2,6984,12995,302
Balod,Chhattisgarh,2020,4,13424,75867,204
Balod,Chhattisgarh,2021,4,15305,29839,60
Balod,Chhattisgarh,2022,4,11370,75306,87
Balod,Chhattisgarh,2023,5,10314,50296,93
Balod,Chhattisgarh,2024,2,5833,70571,389
Balodabazar-Bhatapara,Chhattisgarh,2015,1,5954,21015,98
Balodabazar-Bhatapara,Chhattisgarh,2016,4,5473,40571,244
Balodabazar-Bhatapara,Chhattisgarh,2017,2,9077,57508,216
Balodabazar-Bhatapara,Chhattisgarh,2018,1,8175,17758,195
Balodabazar-Bhatapara,Chhattisgarh,2019,5,17996,40357,296
Balodabazar-Bhatapara,Chhattisgarh,2020,4,7176,25276,162
Balodabazar-Bhatapara,Chhattisgarh,2021,2,6282,59964,285
Balodabazar-Bhatapara,Chhattisgarh,2022,3,4173,10948,382
Balodabazar-Bhatapara,Chhattisgarh,2023,3,10789,53236,54
Balodabazar-Bhatapara,Chhattisgarh,2024,4,9486,33720,361
Balrampur-Ramanujganj,Chhattisgarh,2015,4,4076,43435,362
Balrampur-Ramanujganj,Chhattisgarh,2016,2,12511,77466,98
Balrampur-Ramanujganj,Chhattisgarh,2017,4,13902,68246,112
Balrampur-Ramanujganj,Chhattisgarh,2018,2,19510,19127,84
Balrampur-Ramanujganj,Chhattisgarh,2019,2,16227,28714,152
Balrampur-Ramanujganj,Chhattisgarh,2020,3,11925,60390,57
Balrampur-Ramanujganj,Chhattisgarh,2021,2,15888,32849,197
Balrampur-Ramanujganj,Chhattisgarh,2022,1,19336,68102,170
Balrampur-Ramanujganj,Chhattisgarh,2023,3,11851,59358,364
Balrampur-Ramanujganj,Chhattisgarh,2024,5,5492,35061,131
Bastar,Chhattisgarh,2015,3,17011,31425,321
Bastar,Chhattisgarh,2016,1,10713,56918,400
Bastar,Chhattisgarh,2017,5,18706,46288,377
Bastar,Chhattisgarh,2018,4,12370,33908,120
Bastar,Chhattisgarh,2019,4,16127,64376,172
Bastar,Chhattisgarh,2020,3,14946,32383,285
Bastar,Chhattisgarh,2021,3,3678,53794,338
Bastar,Chhattisgarh,2022,1,13780,78061,382
Bastar,Chhattisgarh,2023,2,4858,75333,279
Bastar,Chhattisgarh,2024,3,6098,40221,351
Bemetara,Chhattisgarh,2015,4,13659,48701,323
Bemetara,Chhattisgarh,2016,5,17023,19911,295
Bemetara,Chhattisgarh,2017,4,18917,36736,333
Bemetara,Chhattisgarh,2018,4,18274,11769,258
Bemetara,Chhattisgarh,2019,2,8912,74598,132
Bemetara,Chhattisgarh,2020,1,19714,49554,89
Bemetara,Chhattisgarh,2021,3,14097,37021,87
Bemetara,Chhattisgarh,2022,5,16031,17442,296
Bemetara,Chhattisgarh,2023,1,8117,69455,304
Bemetara,Chhattisgarh,2024,3,13001,14744,216
Bijapur,Chhattisgarh,2015,1,14820,12100,349
Bijapur,Chhattisgarh,2016,5,7665,66549,155
Bijapur,Chhattisgarh,2017,5,12782,27057,220
Bijapur,Chhattisgarh,2018,2,5894,69706,210
Bijapur,Chhattisgarh,2019,3,13691,56332,282
Bijapur,Chhattisgarh,2020,4,5755,60312,320
Bijapur,Chhattisgarh,2021,1,9771,17476,166
Bijapur,Chhattisgarh,2022,1,12803,73949,205
Bijapur,Chhattisgarh,2023,3,6898,25390,359
Bijapur,Chhattisgarh,2024,3,17714,28329,185
Bilaspur,Chhattisgarh,2015,5,19040,30596,317
Bilaspur,Chhattisgarh,2016,5,6622,55650,128
Bilaspur,Chhattisgarh,2017,4,9760,16301,70
Bilaspur,Chhattisgarh,2018,4,11041,55442,80
Bilaspur,Chhattisgarh,2019,5,6914,19790,202
Bilaspur,Chhattisgarh,2020,2,12442,29624,252
Bilaspur,Chhattisgarh,2021,5,9349,70605,349
Bilaspur,Chhattisgarh,2022,2,4149,55736,329
Bilaspur,Chhattisgarh,2023,2,8958,47193,78
Bilaspur,Chhattisgarh,2024,2,15464,61023,309
Dakshin Bastar Dantewada,Chhattisgarh,2015,5,19632,72147,384
Dakshin Bastar Dantewada,Chhattisgarh,2016,2,14570,71649,393
Dakshin Bastar Dantewada,Chhattisgarh,2017,1,5941,64642,141
Dakshin Bastar Dantewada,Chhattisgarh,2018,2,11668,18997,155
Dakshin Bastar Dantewada,Chhattisgarh,2019,4,17167,29715,230
Dakshin Bastar Dantewada,Chhattisgarh,2020,4,10258,52174,371
Dakshin Bastar Dantewada,Chhattisgarh,2021,1,9460,15779,301
Dakshin Bastar Dantewada,Chhattisgarh,2022,1,8276,57700,365
Dakshin Bastar Dantewada,Chhattisgarh,2023,3,15605,33470,133
Dakshin Bastar Dantewada,Chhattisgarh,2024,1,18638,52026,236
Dhamtari,Chhattisgarh,2015,4,11685,39359,250
Dhamtari,Chhattisgarh,2016,4,12667,25291,320
Dhamtari,Chhattisgarh,2017,3,11643,47565,325
Dhamtari,Chhattisgarh,2018,1,4755,26996,148
Dhamtari,Chhattisgarh,2019,2,16767,49740,327
Dhamtari,Chhattisgarh,2020,2,7951,72349,107
Dhamtari,Chhattisgarh,2021,5,5174,11115,392
Dhamtari,Chhattisgarh,2022,5,11106,53449,346
Dhamtari,Chhattisgarh,2023,2,4019,30243,357
Dhamtari,Chhattisgarh,2024,1,8869,73646,256
Durg,Chhattisgarh,2015,1,18983,25837,124
Durg,Chhattisgarh,2016,5,15573,59367,224
Durg,Chhattisgarh,2017,2,6192,30039,254
Durg,Chhattisgarh,2018,4,5331,20225,131
Durg,Chhattisgarh,2019,3,10615,28452,94
Durg,Chhattisgarh,2020,5,9600,20907,89
Durg,Chhattisgarh,2021,2,15853,74422,53
Durg,Chhattisgarh,2022,2,15265,66058,241
Durg,Chhattisgarh,2023,3,6589,21324,282
Durg,Chhattisgarh,2024,1,14520,52155,348
Gariyaband,Chhattisgarh,2015,4,14056,14073,396
Gariyaband,Chhattisgarh,2016,2,10390,53183,181
Gariyaband,Chhattisgarh,2017,4,13788,74946,380
Gariyaband,Chhattisgarh,2018,1,8323,46587,315
Gariyaband,Chhattisgarh,2019,2,7145,45826,362
Gariyaband,Chhattisgarh,2020,2,10409,34865,58
Gariyaband,Chhattisgarh,2021,4,11590,52058,233
Gariyaband,Chhattisgarh,2022,3,8587,78150,313
Gariyaband,Chhattisgarh,2023,5,18213,62009,395
Gariyaband,Chhattisgarh,2024,5,18253,61692,329
Gaurela-Pendra-Marwahi,Chhattisgarh,2015,3,3061,49632,97
Gaurela-Pendra-Marwahi,Chhattisgarh,2016,1,18025,45058,258
Gaurela-Pendra-Marwahi,Chhattisgarh,2017,1,10573,75128,135
Gaurela-Pendra-Marwahi,Chhattisgarh,2018,2,6499,26611,260
Gaurela-Pendra-Marwahi,Chhattisgarh,2019,5,8742,16267,286
Gaurela-Pendra-Marwahi,Chhattisgarh,2020,4,8985,72638,216
Gaurela-Pendra-Marwahi,Chhattisgarh,2021,4,7830,55302,253
Gaurela-Pendra-Marwahi,Chhattisgarh,2022,1,11605,13845,237
Gaurela-Pendra-Marwahi,Chhattisgarh,2023,5,11540,18874,216
Gaurela-Pendra-Marwahi,Chhattisgarh,2024,2,16235,45175,176
Janjgir-Champa,Chhattisgarh,2015,1,6689,24044,96
Janjgir-Champa,Chhattisgarh,2016,1,15214,32978,168
Janjgir-Champa,Chhattisgarh,2017,1,18142,25212,397
Janjgir-Champa,Chhattisgarh,2018,4,19238,56563,102
Janjgir-Champa,Chhattisgarh,2019,4,12011,37724,51
Janjgir-Champa,Chhattisgarh,2020,4,12525,56019,191
Janjgir-Champa,Chhattisgarh,2021,4,9726,71057,310
Janjgir-Champa,Chhattisgarh,2022,5,3552,12826,202
Janjgir-Champa,Chhattisgarh,2023,2,3224,72322,343
Janjgir-Champa,Chhattisgarh,2024,4,13846,21390,289
Jashpur,Chhattisgarh,2015,3,3054,50593,286
Jashpur,Chhattisgarh,2016,1,8566,42796,103
Jashpur,Chhattisgarh,2017,5,17896,35045,336
Jashpur,Chhattisgarh,2018,5,11669,28804,329
Jashpur,Chhattisgarh,2019,4,14202,43960,325
Jashpur,Chhattisgarh,2020,2,4141,76024,55
Jashpur,Chhattisgarh,2021,3,19532,35523,147
Jashpur,Chhattisgarh,2022,1,9675,50762,192
Jashpur,Chhattisgarh,2023,3,8422,79370,165
Jashpur,Chhattisgarh,2024,5,7214,31914,327
Kabeerdham,Chhattisgarh,2015,4,7746,49837,115
Kabeerdham,Chhattisgarh,2016,3,3784,44496,79
Kabeerdham,Chhattisgarh,2017,5,7300,43286,92
Kabeerdham,Chhattisgarh,2018,4,10728,33909,113
Kabeerdham,Chhattisgarh,2019,5,10478,41605,243
Kabeerdham,Chhattisgarh,2020,3,6661,51905,305
Kabeerdham,Chhattisgarh,2021,4,6037,48499,64
Kabeerdham,Chhattisgarh,2022,5,15769,42672,219
Kabeerdham,Chhattisgarh,2023,4,4268,48948,138
Kabeerdham,Chhattisgarh,2024,3,7273,67096,71
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2015,3,6101,63587,143
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2016,2,19355,33344,198
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2017,3,3047,70536,187
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2018,5,13458,76042,166
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2019,5,8833,35112,184
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2020,4,17651,67464,351
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2021,2,15106,64754,288
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2022,1,10243,60533,160
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2023,3,8770,67420,289
Khairagarh-Chhuikhadan-Gandai,Chhattisgarh,2024,2,19846,70976,169
Kondagaon,Chhattisgarh,2015,5,3337,70824,134
Kondagaon,Chhattisgarh,2016,4,3106,33272,288
Kondagaon,Chhattisgarh,2017,1,9852,17336,274
Kondagaon,Chhattisgarh,2018,2,6635,17179,194
Kondagaon,Chhattisgarh,2019,5,3789,69126,336
Kondagaon,Chhattisgarh,2020,5,9297,30893,216
Kondagaon,Chhattisgarh,2021,2,15084,49849,278
Kondagaon,Chhattisgarh,2022,4,4786,18477,310
Kondagaon,Chhattisgarh,2023,1,3431,14127,295
Kondagaon,Chhattisgarh,2024,4,14146,64023,364
Korba,Chhattisgarh,2015,4,7053,76188,137
Korba,Chhattisgarh,2016,3,6656,55008,243
Korba,Chhattisgarh,2017,4,15460,20259,193
Korba,Chhattisgarh,2018,1,3701,74395,276
Korba,Chhattisgarh,2019,5,8072,58731,234
Korba,Chhattisgarh,2020,4,4270,43630,300
Korba,Chhattisgarh,2021,5,7882,52930,95
Korba,Chhattisgarh,2022,4,10250,12169,126
Korba,Chhattisgarh,2023,1,7188,22141,274
Korba,Chhattisgarh,2024,4,12838,64996,87
Korea,Chhattisgarh,2015,3,18942,71254,319
Korea,Chhattisgarh,2016,2,17523,53522,157
Korea,Chhattisgarh,2017,3,11132,65971,225
Korea,Chhattisgarh,2018,3,11192,36139,351
Korea,Chhattisgarh,2019,5,16331,48605,197
Korea,Chhattisgarh,2020,4,4560,39151,373
Korea,Chhattisgarh,2021,4,18071,74458,109
Korea,Chhattisgarh,2022,3,12362,26586,392
Korea,Chhattisgarh,2023,2,6243,42426,371
Korea,Chhattisgarh,2024,5,19256,50472,336
Mahasamund,Chhattisgarh,2015,4,13286,55792,301
Mahasamund,Chhattisgarh,2016,3,10584,12389,217
Mahasamund,Chhattisgarh,2017,2,19764,63744,235
Mahasamund,Chhattisgarh,2018,5,15702,74240,337
Mahasamund,Chhattisgarh,2019,5,8296,28119,394
Mahasamund,Chhattisgarh,2020,2,6249,40956,193
Mahasamund,Chhattisgarh,2021,2,5166,11179,184
Mahasamund,Chhattisgarh,2022,3,17017,22071,264
Mahasamund,Chhattisgarh,2023,1,15951,63076,287
Mahasamund,Chhattisgarh,2024,1,7018,67947,217
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2015,1,17726,18304,198
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2016,3,10082,47835,173
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2017,5,4125,42690,110
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2018,2,15108,50485,150
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2019,2,5575,38404,135
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2020,4,10892,72192,184
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2021,3,3961,57670,377
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2022,2,15504,10458,305
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2023,1,15134,24974,376
Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,2024,1,3514,12093,92
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2015,5,9318,71779,122
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2016,3,16894,10740,350
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2017,3,13158,49448,362
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2018,1,4810,38246,374
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2019,1,10608,18903,341
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2020,2,16953,28452,338
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2021,3,19004,72564,227
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2022,5,7811,27650,368
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2023,2,12911,27301,262
Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,2024,4,4720,65637,209
Mungeli,Chhattisgarh,2015,2,12486,37076,91
Mungeli,Chhattisgarh,2016,2,18907,76938,396
Mungeli,Chhattisgarh,2017,3,11803,25049,54
Mungeli,Chhattisgarh,2018,2,14573,20142,235
Mungeli,Chhattisgarh,2019,3,18727,78675,394
Mungeli,Chhattisgarh,2020,4,9535,68933,326
Mungeli,Chhattisgarh,2021,2,16801,61109,122
Mungeli,Chhattisgarh,2022,5,16743,10028,378
Mungeli,Chhattisgarh,2023,3,10470,69444,394
Mungeli,Chhattisgarh,2024,1,16543,29079,295
Narayanpur,Chhattisgarh,2015,3,8058,37531,315
Narayanpur,Chhattisgarh,2016,1,8089,10408,262
Narayanpur,Chhattisgarh,2017,1,5729,38918,85
Narayanpur,Chhattisgarh,2018,1,16985,39997,84
Narayanpur,Chhattisgarh,2019,3,9863,21214,396
Narayanpur,Chhattisgarh,2020,4,16490,45441,343
Narayanpur,Chhattisgarh,2021,2,11079,43352,226
Narayanpur,Chhattisgarh,2022,4,6165,66111,115
Narayanpur,Chhattisgarh,2023,2,5182,38030,50
Narayanpur,Chhattisgarh,2024,5,4944,61588,60
Raigarh,Chhattisgarh,2015,2,3625,61401,192
Raigarh,Chhattisgarh,2016,3,10329,71812,77
Raigarh,Chhattisgarh,2017,5,17805,15193,252
Raigarh,Chhattisgarh,2018,4,15186,42763,293
Raigarh,Chhattisgarh,2019,2,15701,65979,326
Raigarh,Chhattisgarh,2020,3,13329,54631,394
Raigarh,Chhattisgarh,2021,2,17070,28610,295
Raigarh,Chhattisgarh,2022,1,11383,42935,121
Raigarh,Chhattisgarh,2023,2,19184,38976,171
Raigarh,Chhattisgarh,2024,3,3822,20272,320
Raipur,Chhattisgarh,2015,2,16541,37924,338
Raipur,Chhattisgarh,2016,4,17072,75373,303
Raipur,Chhattisgarh,2017,1,9376,20783,321
Raipur,Chhattisgarh,2018,3,14866,17721,168
Raipur,Chhattisgarh,2019,2,11175,34312,126
Raipur,Chhattisgarh,2020,5,16497,73547,155
Raipur,Chhattisgarh,2021,4,14340,77054,175
Raipur,Chhattisgarh,2022,2,5525,46300,202
Raipur,Chhattisgarh,2023,1,15254,51714,272
Raipur,Chhattisgarh,2024,3,11736,65222,238
Rajnandgaon,Chhattisgarh,2015,4,12905,65259,128
Rajnandgaon,Chhattisgarh,2016,4,7634,25816,274
Rajnandgaon,Chhattisgarh,2017,4,18281,26550,267
Rajnandgaon,Chhattisgarh,2018,1,16084,52472,358
Rajnandgaon,Chhattisgarh,2019,5,15645,65420,289
Rajnandgaon,Chhattisgarh,2020,1,9616,10157,293
Rajnandgaon,Chhattisgarh,2021,5,5368,33877,97
Rajnandgaon,Chhattisgarh,2022,4,15536,50018,237
Rajnandgaon,Chhattisgarh,2023,1,11134,22491,250
Rajnandgaon,Chhattisgarh,2024,4,16247,38470,363
Sakti,Chhattisgarh,2015,3,15851,59045,130
Sakti,Chhattisgarh,2016,4,3081,73956,351
Sakti,Chhattisgarh,2017,5,8758,21409,336
Sakti,Chhattisgarh,2018,2,19179,55533,129
Sakti,Chhattisgarh,2019,5,7163,43296,155
Sakti,Chhattisgarh,2020,3,10760,53110,326
Sakti,Chhattisgarh,2021,3,11845,15251,269
Sakti,Chhattisgarh,2022,1,8242,53342,396
Sakti,Chhattisgarh,2023,2,14225,52695,227
Sakti,Chhattisgarh,2024,5,13210,13851,231
Sarangarh-Bilaigarh,Chhattisgarh,2015,3,16843,46328,80
Sarangarh-Bilaigarh,Chhattisgarh,2016,2,17030,18139,138
Sarangarh-Bilaigarh,Chhattisgarh,2017,1,16199,70222,50
Sarangarh-Bilaigarh,Chhattisgarh,2018,4,19346,46625,388
Sarangarh-Bilaigarh,Chhattisgarh,2019,4,16857,24352,91
Sarangarh-Bilaigarh,Chhattisgarh,2020,2,19127,73806,288
Sarangarh-Bilaigarh,Chhattisgarh,2021,4,12527,43469,108
Sarangarh-Bilaigarh,Chhattisgarh,2022,3,8588,22887,221
Sarangarh-Bilaigarh,Chhattisgarh,2023,2,18077,61515,140
Sarangarh-Bilaigarh,Chhattisgarh,2024,2,9552,38053,319
Sukma,Chhattisgarh,2015,3,12690,21650,206
Sukma,Chhattisgarh,2016,5,13493,74701,349
Sukma,Chhattisgarh,2017,3,18286,62933,379
Sukma,Chhattisgarh,2018,4,3243,72850,270
Sukma,Chhattisgarh,2019,3,16785,13927,234
Sukma,Chhattisgarh,2020,3,12283,13923,81
Sukma,Chhattisgarh,2021,5,19216,73598,255
Sukma,Chhattisgarh,2022,2,14263,69187,237
Sukma,Chhattisgarh,2023,1,7746,46684,277
Sukma,Chhattisgarh,2024,4,19165,29649,378
Surajpur,Chhattisgarh,2015,4,15589,35098,171
Surajpur,Chhattisgarh,2016,5,9946,21764,289
Surajpur,Chhattisgarh,2017,3,7997,53717,278
Surajpur,Chhattisgarh,2018,3,7853,46203,247
Surajpur,Chhattisgarh,2019,5,12560,69121,75
Surajpur,Chhattisgarh,2020,5,10703,56881,339
Surajpur,Chhattisgarh,2021,4,10207,69760,360
Surajpur,Chhattisgarh,2022,4,3854,25428,349
Surajpur,Chhattisgarh,2023,2,7142,74127,294
Surajpur,Chhattisgarh,2024,4,14478,63153,358
Central,Delhi,2015,0,3450,5381,16
Central,Delhi,2016,0,4426,6325,57
Central,Delhi,2017,0,2174,12124,16
Central,Delhi,2018,0,3310,8411,96
Central,Delhi,2019,0,2111,2269,36
Central,Delhi,2020,2,4245,12368,41
Central,Delhi,2021,0,2625,6437,53
Central,Delhi,2022,1,3065,14507,63
Central,Delhi,2023,0,3025,6084,100
Central,Delhi,2024,1,4086,4098,26
East,Delhi,2015,1,2487,12343,11
East,Delhi,2016,1,1102,2968,73
East,Delhi,2017,0,4948,10016,53
East,Delhi,2018,2,4028,1110,73
East,Delhi,2019,1,4639,10545,25
East,Delhi,2020,0,4105,2664,65
East,Delhi,2021,2,2344,9227,14
East,Delhi,2022,2,1627,9044,53
East,Delhi,2023,1,3228,12156,55
East,Delhi,2024,2,4707,7974,88
New Delhi,Delhi,2015,0,792,9786,30
New Delhi,Delhi,2016,1,1058,2360,77
New Delhi,Delhi,2017,2,3875,2163,63
New Delhi,Delhi,2018,0,2537,6956,36
New Delhi,Delhi,2019,0,1522,4555,75
New Delhi,Delhi,2020,1,1714,11912,95
New Delhi,Delhi,2021,0,4660,14628,78
New Delhi,Delhi,2022,1,4025,13925,29
New Delhi,Delhi,2023,2,3354,14789,86
New Delhi,Delhi,2024,0,3260,10537,34
North,Delhi,2015,0,1073,12235,35
North,Delhi,2016,2,3592,2457,37
North,Delhi,2017,0,2856,7362,66
North,Delhi,2018,2,4716,2123,100
North,Delhi,2019,1,3589,9015,83
North,Delhi,2020,1,3576,2381,64
North,Delhi,2021,2,2107,6405,82
North,Delhi,2022,0,3120,10153,95
North,Delhi,2023,1,2541,1046,66
North,Delhi,2024,2,4408,12778,96
North East,Delhi,2015,0,1378,4039,90
North East,Delhi,2016,1,1336,7687,69
North East,Delhi,2017,0,4264,8059,95
North East,Delhi,2018,1,684,11105,38
North East,Delhi,2019,1,4922,12052,44
North East,Delhi,2020,1,2175,14358,67
North East,Delhi,2021,1,1735,10040,87
North East,Delhi,2022,1,4289,12410,71
North East,Delhi,2023,2,2320,13676,98
North East,Delhi,2024,1,2006,7880,15
North West,Delhi,2015,0,1384,8501,72
North West,Delhi,2016,0,2318,10474,84
North West,Delhi,2017,0,2989,3910,21
North West,Delhi,2018,0,3164,9182,12
North West,Delhi,2019,0,4183,5269,79
North West,Delhi,2020,2,2086,14427,99
North West,Delhi,2021,0,4964,14405,75
North West,Delhi,2022,2,3258,7875,65
North West,Delhi,2023,0,4748,14882,69
North West,Delhi,2024,2,4597,1334,15
Shahdara,Delhi,2015,1,1119,1612,43
Shahdara,Delhi,2016,2,3892,10547,82
Shahdara,Delhi,2017,2,3097,7950,41
Shahdara,Delhi,2018,2,4707,6177,94
Shahdara,Delhi,2019,2,2190,13635,41
Shahdara,Delhi,2020,0,3950,14984,94
Shahdara,Delhi,2021,2,1105,11738,42
Shahdara,Delhi,2022,0,3345,12657,47
Shahdara,Delhi,2023,0,3439,12266,62
Shahdara,Delhi,2024,2,4582,11263,31
South,Delhi,2015,0,3829,2187,41
South,Delhi,2016,1,2797,11145,35
South,Delhi,2017,2,2246,9270,67
South,Delhi,2018,2,992,12830,33
South,Delhi,2019,1,3567,10460,88
South,Delhi,2020,0,4583,6165,13
South,Delhi,2021,1,4104,8539,42
South,Delhi,2022,0,1168,11814,16
South,Delhi,2023,1,4208,9636,16
South,Delhi,2024,1,1205,1768,36
South East,Delhi,2015,1,2637,10955,69
South East,Delhi,2016,1,4413,9389,17
South East,Delhi,2017,1,4951,2588,72
South East,Delhi,2018,1,642,14956,46
South East,Delhi,2019,2,4834,14671,29
South East,Delhi,2020,0,3479,2976,74
South East,Delhi,2021,1,2473,7338,18
South East,Delhi,2022,2,1487,11750,88
South East,Delhi,2023,2,2429,9580,89
South East,Delhi,2024,2,3028,8229,74
South West,Delhi,2015,1,3719,8392,38
South West,Delhi,2016,2,3158,8774,14
South West,Delhi,2017,2,3408,4865,69
South West,Delhi,2018,2,2658,10275,85
South West,Delhi,2019,1,2948,12806,37
South West,Delhi,2020,1,4194,9077,31
South West,Delhi,2021,2,1661,10443,89
South West,Delhi,2022,0,2878,3332,77
South West,Delhi,2023,2,3514,14750,33
South West,Delhi,2024,0,3045,2074,62
West,Delhi,2015,2,2862,4999,83
West,Delhi,2016,0,4350,8036,35
West,Delhi,2017,0,4863,12910,43
West,Delhi,2018,1,2323,12814,76
West,Delhi,2019,0,1351,7689,65
West,Delhi,2020,1,2421,11388,17
West,Delhi,2021,2,816,10711,88
West,Delhi,2022,1,1898,14531,68
West,Delhi,2023,1,2618,13337,45
West,Delhi,2024,0,4653,12607,58
North Goa,Goa,2015,2,2338,2836,23
North Goa,Goa,2016,0,810,13050,90
North Goa,Goa,2017,2,4104,14953,93
North Goa,Goa,2018,2,561,1909,32
North Goa,Goa,2019,0,1122,3359,44
North Goa,Goa,2020,1,3629,2945,11
North Goa,Goa,2021,1,1961,9534,68
North Goa,Goa,2022,0,3060,10670,21
